timeline_id,url,error
budget_2026,https://www.theguardian.com/football/ng-interactive/2026/feb/03/mens-transfer-window-january-2026-all-deals-europe-top-five-leagues-full-list,Mapping produced no canonical record
budget_2026,https://www.theguardian.com/football/ng-interactive/2025/dec/29/womens-transfer-window-january-2026-all-deals-world-top-six-leagues,Mapping produced no canonical record
budget_2026,https://www.theguardian.com/sport/ng-interactive/2026/feb/04/winter-olympics-full-schedule-milano-cortina-2026,Duplicate body hash
